0/500000, loss = 107.877, regloss = 1.07877, valid_loss = 106.147, time = 4.560, learning_rate=0.0001000000
6580/500000, loss = -76.195, regloss = -76.15589, valid_loss = -76.457, time = 4.962, learning_rate=0.0000000010
6600/500000, loss = -76.216, regloss = -76.16633, valid_loss = -76.122, time = 4.973, learning_rate=0.0000000010
6620/500000, loss = -76.074, regloss = -76.15562, valid_loss = -76.236, time = 4.970, learning_rate=0.0000000010
6640/500000, loss = -76.101, regloss = -76.15622, valid_loss = -76.226, time = 4.995, learning_rate=0.0000000010
6660/500000, loss = -76.387, regloss = -76.16823, valid_loss = -76.189, time = 4.976, learning_rate=0.0000000010
6680/500000, loss = -76.063, regloss = -76.17079, valid_loss = -76.535, time = 4.976, learning_rate=0.0000000010
6700/500000, loss = -76.069, regloss = -76.16397, valid_loss = -76.281, time = 5.014, learning_rate=0.0000000010
6720/500000, loss = -76.209, regloss = -76.16557, valid_loss = -76.090, time = 4.973, learning_rate=0.0000000010
6740/500000, loss = -76.204, regloss = -76.16898, valid_loss = -76.339, time = 4.990, learning_rate=0.0000000010
6760/500000, loss = -76.113, regloss = -76.16037, valid_loss = -76.228, time = 4.990, learning_rate=0.0000000010
6780/500000, loss = -76.172, regloss = -76.14460, valid_loss = -75.986, time = 4.978, learning_rate=0.0000000010
6800/500000, loss = -76.069, regloss = -76.14355, valid_loss = -76.122, time = 4.971, learning_rate=0.0000000010
6820/500000, loss = -75.810, regloss = -76.13731, valid_loss = -76.230, time = 4.990, learning_rate=0.0000000010
6840/500000, loss = -76.004, regloss = -76.14381, valid_loss = -75.978, time = 4.965, learning_rate=0.0000000010
6860/500000, loss = -76.077, regloss = -76.14256, valid_loss = -76.250, time = 4.969, learning_rate=0.0000000010
6880/500000, loss = -75.988, regloss = -76.14084, valid_loss = -76.374, time = 5.000, learning_rate=0.0000000010
6900/500000, loss = -76.188, regloss = -76.14243, valid_loss = -76.018, time = 4.971, learning_rate=0.0000000010
6920/500000, loss = -76.517, regloss = -76.14487, valid_loss = -76.187, time = 4.963, learning_rate=0.0000000010
6940/500000, loss = -76.133, regloss = -76.14244, valid_loss = -76.263, time = 4.982, learning_rate=0.0000000010
6960/500000, loss = -76.128, regloss = -76.13546, valid_loss = -75.676, time = 4.979, learning_rate=0.0000000010
6980/500000, loss = -76.233, regloss = -76.14099, valid_loss = -76.294, time = 4.989, learning_rate=0.0000000010
7000/500000, loss = -76.128, regloss = -76.13969, valid_loss = -76.030, time = 4.953, learning_rate=0.0000000010
7020/500000, loss = -76.308, regloss = -76.14163, valid_loss = -76.082, time = 4.944, learning_rate=0.0000000010
7040/500000, loss = -76.223, regloss = -76.14454, valid_loss = -75.999, time = 4.969, learning_rate=0.0000000010
7060/500000, loss = -76.271, regloss = -76.14660, valid_loss = -76.062, time = 4.976, learning_rate=0.0000000010
7080/500000, loss = -76.155, regloss = -76.15695, valid_loss = -76.200, time = 4.955, learning_rate=0.0000000010
7100/500000, loss = -75.981, regloss = -76.14956, valid_loss = -76.104, time = 4.989, learning_rate=0.0000000010
7120/500000, loss = -76.276, regloss = -76.14407, valid_loss = -76.012, time = 5.000, learning_rate=0.0000000010
7140/500000, loss = -76.081, regloss = -76.13990, valid_loss = -76.154, time = 4.961, learning_rate=0.0000000010
7160/500000, loss = -76.202, regloss = -76.14823, valid_loss = -76.062, time = 4.982, learning_rate=0.0000000010
7180/500000, loss = -76.448, regloss = -76.15613, valid_loss = -76.230, time = 4.982, learning_rate=0.0000000010
7200/500000, loss = -76.117, regloss = -76.16239, valid_loss = -75.904, time = 4.973, learning_rate=0.0000000010
7220/500000, loss = -76.274, regloss = -76.16541, valid_loss = -76.196, time = 4.963, learning_rate=0.0000000010
7240/500000, loss = -76.371, regloss = -76.16211, valid_loss = -76.004, time = 4.977, learning_rate=0.0000000010
7260/500000, loss = -76.219, regloss = -76.16984, valid_loss = -76.125, time = 4.938, learning_rate=0.0000000010
7280/500000, loss = -76.094, regloss = -76.16040, valid_loss = -76.274, time = 4.982, learning_rate=0.0000000010
7300/500000, loss = -76.082, regloss = -76.15583, valid_loss = -76.172, time = 4.975, learning_rate=0.0000000010
7320/500000, loss = -76.375, regloss = -76.16955, valid_loss = -76.103, time = 4.993, learning_rate=0.0000000010
7340/500000, loss = -76.216, regloss = -76.16092, valid_loss = -76.195, time = 4.975, learning_rate=0.0000000010
7360/500000, loss = -76.160, regloss = -76.15334, valid_loss = -76.215, time = 4.963, learning_rate=0.0000000010
7380/500000, loss = -76.130, regloss = -76.14839, valid_loss = -76.178, time = 4.997, learning_rate=0.0000000010
7400/500000, loss = -76.411, regloss = -76.15003, valid_loss = -76.379, time = 4.990, learning_rate=0.0000000010
7420/500000, loss = -75.983, regloss = -76.14382, valid_loss = -75.902, time = 4.958, learning_rate=0.0000000010
7440/500000, loss = -76.175, regloss = -76.13277, valid_loss = -76.069, time = 4.963, learning_rate=0.0000000010
7460/500000, loss = -76.234, regloss = -76.13125, valid_loss = -76.047, time = 4.972, learning_rate=0.0000000010
7480/500000, loss = -76.069, regloss = -76.12609, valid_loss = -76.161, time = 4.985, learning_rate=0.0000000010
7500/500000, loss = -76.029, regloss = -76.12279, valid_loss = -76.266, time = 4.982, learning_rate=0.0000000010
7520/500000, loss = -76.097, regloss = -76.12832, valid_loss = -75.946, time = 4.979, learning_rate=0.0000000010
7540/500000, loss = -76.271, regloss = -76.12262, valid_loss = -76.169, time = 5.015, learning_rate=0.0000000010
7560/500000, loss = -76.138, regloss = -76.13322, valid_loss = -76.124, time = 4.970, learning_rate=0.0000000010
7580/500000, loss = -76.416, regloss = -76.13942, valid_loss = -76.190, time = 4.996, learning_rate=0.0000000010
7600/500000, loss = -76.245, regloss = -76.14628, valid_loss = -76.369, time = 4.964, learning_rate=0.0000000010
7620/500000, loss = -76.080, regloss = -76.13842, valid_loss = -76.218, time = 4.979, learning_rate=0.0000000010
7640/500000, loss = -75.779, regloss = -76.13901, valid_loss = -76.212, time = 4.965, learning_rate=0.0000000010
7660/500000, loss = -75.946, regloss = -76.14065, valid_loss = -76.005, time = 4.978, learning_rate=0.0000000010
7680/500000, loss = -76.210, regloss = -76.14331, valid_loss = -76.185, time = 4.959, learning_rate=0.0000000010
7700/500000, loss = -75.873, regloss = -76.13879, valid_loss = -75.964, time = 5.021, learning_rate=0.0000000010
7720/500000, loss = -75.972, regloss = -76.14500, valid_loss = -76.234, time = 4.990, learning_rate=0.0000000010
7740/500000, loss = -76.158, regloss = -76.15347, valid_loss = -76.149, time = 4.983, learning_rate=0.0000000010
7760/500000, loss = -76.303, regloss = -76.15796, valid_loss = -76.517, time = 4.980, learning_rate=0.0000000010
7780/500000, loss = -76.034, regloss = -76.15929, valid_loss = -76.265, time = 4.999, learning_rate=0.0000000010
7800/500000, loss = -76.180, regloss = -76.15746, valid_loss = -76.066, time = 5.006, learning_rate=0.0000000010
7820/500000, loss = -76.310, regloss = -76.16183, valid_loss = -76.108, time = 4.975, learning_rate=0.0000000010
7840/500000, loss = -76.149, regloss = -76.16286, valid_loss = -76.122, time = 5.031, learning_rate=0.0000000010
7860/500000, loss = -76.086, regloss = -76.16625, valid_loss = -75.969, time = 4.992, learning_rate=0.0000000010
7880/500000, loss = -76.254, regloss = -76.16838, valid_loss = -76.165, time = 4.982, learning_rate=0.0000000010
7900/500000, loss = -76.110, regloss = -76.16720, valid_loss = -76.011, time = 4.979, learning_rate=0.0000000010
7920/500000, loss = -75.955, regloss = -76.17478, valid_loss = -76.494, time = 4.985, learning_rate=0.0000000010
7940/500000, loss = -76.208, regloss = -76.17504, valid_loss = -76.111, time = 4.973, learning_rate=0.0000000010
7960/500000, loss = -76.194, regloss = -76.16554, valid_loss = -76.264, time = 4.965, learning_rate=0.0000000010
7980/500000, loss = -76.389, regloss = -76.15949, valid_loss = -76.117, time = 4.975, learning_rate=0.0000000010
8000/500000, loss = -76.257, regloss = -76.14849, valid_loss = -76.128, time = 4.987, learning_rate=0.0000000010
8020/500000, loss = -76.299, regloss = -76.14812, valid_loss = -76.330, time = 4.971, learning_rate=0.0000000010
8040/500000, loss = -76.265, regloss = -76.14962, valid_loss = -76.424, time = 4.977, learning_rate=0.0000000010
8060/500000, loss = -76.407, regloss = -76.13950, valid_loss = -75.735, time = 4.975, learning_rate=0.0000000010
8080/500000, loss = -76.448, regloss = -76.14419, valid_loss = -76.381, time = 4.958, learning_rate=0.0000000010
8100/500000, loss = -76.386, regloss = -76.15151, valid_loss = -75.967, time = 4.983, learning_rate=0.0000000010
8120/500000, loss = -76.398, regloss = -76.15036, valid_loss = -76.082, time = 4.966, learning_rate=0.0000000010
8140/500000, loss = -76.466, regloss = -76.14574, valid_loss = -76.224, time = 4.957, learning_rate=0.0000000010
8160/500000, loss = -76.203, regloss = -76.15674, valid_loss = -76.360, time = 4.967, learning_rate=0.0000000010
8180/500000, loss = -76.037, regloss = -76.15444, valid_loss = -76.151, time = 4.959, learning_rate=0.0000000010
8200/500000, loss = -76.225, regloss = -76.15577, valid_loss = -76.198, time = 4.961, learning_rate=0.0000000010
8220/500000, loss = -76.052, regloss = -76.15804, valid_loss = -76.304, time = 4.971, learning_rate=0.0000000010
8240/500000, loss = -76.379, regloss = -76.16340, valid_loss = -76.378, time = 4.964, learning_rate=0.0000000010
8260/500000, loss = -76.291, regloss = -76.16960, valid_loss = -75.937, time = 4.984, learning_rate=0.0000000010
8280/500000, loss = -76.043, regloss = -76.17754, valid_loss = -76.416, time = 4.976, learning_rate=0.0000000010
8300/500000, loss = -75.761, regloss = -76.16814, valid_loss = -75.988, time = 5.005, learning_rate=0.0000000010
8320/500000, loss = -76.214, regloss = -76.16289, valid_loss = -75.912, time = 4.984, learning_rate=0.0000000010
8340/500000, loss = -76.363, regloss = -76.16051, valid_loss = -76.024, time = 4.997, learning_rate=0.0000000010
8360/500000, loss = -76.279, regloss = -76.17375, valid_loss = -76.167, time = 4.994, learning_rate=0.0000000010
8380/500000, loss = -75.998, regloss = -76.16983, valid_loss = -76.206, time = 4.961, learning_rate=0.0000000010
8400/500000, loss = -76.044, regloss = -76.16190, valid_loss = -76.303, time = 4.975, learning_rate=0.0000000010
8420/500000, loss = -76.151, regloss = -76.15435, valid_loss = -75.801, time = 4.990, learning_rate=0.0000000010
8440/500000, loss = -76.017, regloss = -76.14485, valid_loss = -76.160, time = 4.968, learning_rate=0.0000000010
8460/500000, loss = -76.142, regloss = -76.15104, valid_loss = -76.194, time = 4.982, learning_rate=0.0000000010
8480/500000, loss = -76.100, regloss = -76.14890, valid_loss = -76.022, time = 4.999, learning_rate=0.0000000010
8500/500000, loss = -76.110, regloss = -76.15660, valid_loss = -76.039, time = 4.995, learning_rate=0.0000000010
8520/500000, loss = -76.359, regloss = -76.15855, valid_loss = -76.410, time = 4.962, learning_rate=0.0000000010
8540/500000, loss = -76.329, regloss = -76.14743, valid_loss = -76.344, time = 4.984, learning_rate=0.0000000010
8560/500000, loss = -76.068, regloss = -76.14975, valid_loss = -75.905, time = 4.974, learning_rate=0.0000000010
8580/500000, loss = -76.209, regloss = -76.14107, valid_loss = -76.182, time = 5.011, learning_rate=0.0000000010
8600/500000, loss = -76.026, regloss = -76.13783, valid_loss = -76.068, time = 4.982, learning_rate=0.0000000010
8620/500000, loss = -76.097, regloss = -76.14096, valid_loss = -75.989, time = 4.981, learning_rate=0.0000000010
8640/500000, loss = -76.150, regloss = -76.14415, valid_loss = -76.349, time = 4.967, learning_rate=0.0000000010
8660/500000, loss = -76.192, regloss = -76.14211, valid_loss = -75.896, time = 4.977, learning_rate=0.0000000010
8680/500000, loss = -76.339, regloss = -76.13887, valid_loss = -76.025, time = 4.974, learning_rate=0.0000000010
8700/500000, loss = -76.499, regloss = -76.15181, valid_loss = -76.342, time = 4.985, learning_rate=0.0000000010
8720/500000, loss = -76.137, regloss = -76.14149, valid_loss = -76.188, time = 4.945, learning_rate=0.0000000010
8740/500000, loss = -76.074, regloss = -76.13453, valid_loss = -76.426, time = 4.987, learning_rate=0.0000000010
8760/500000, loss = -75.993, regloss = -76.13219, valid_loss = -76.177, time = 4.994, learning_rate=0.0000000010
8780/500000, loss = -75.961, regloss = -76.15190, valid_loss = -75.870, time = 4.971, learning_rate=0.0000000010
8800/500000, loss = -76.224, regloss = -76.15831, valid_loss = -76.110, time = 4.983, learning_rate=0.0000000010
8820/500000, loss = -76.128, regloss = -76.15232, valid_loss = -76.323, time = 4.966, learning_rate=0.0000000010
8840/500000, loss = -75.769, regloss = -76.14926, valid_loss = -76.108, time = 4.993, learning_rate=0.0000000010
8860/500000, loss = -76.188, regloss = -76.15060, valid_loss = -76.033, time = 4.962, learning_rate=0.0000000010
8880/500000, loss = -76.361, regloss = -76.16090, valid_loss = -76.154, time = 4.991, learning_rate=0.0000000010
8900/500000, loss = -76.239, regloss = -76.15822, valid_loss = -76.020, time = 4.959, learning_rate=0.0000000010
8920/500000, loss = -76.356, regloss = -76.15313, valid_loss = -76.114, time = 4.962, learning_rate=0.0000000010
8940/500000, loss = -76.263, regloss = -76.17181, valid_loss = -76.198, time = 4.996, learning_rate=0.0000000010
8960/500000, loss = -75.817, regloss = -76.16065, valid_loss = -75.772, time = 4.973, learning_rate=0.0000000010
8980/500000, loss = -75.985, regloss = -76.16107, valid_loss = -76.326, time = 4.970, learning_rate=0.0000000010
9000/500000, loss = -76.233, regloss = -76.15900, valid_loss = -76.141, time = 4.972, learning_rate=0.0000000010
9020/500000, loss = -76.157, regloss = -76.15436, valid_loss = -76.310, time = 4.984, learning_rate=0.0000000010
9040/500000, loss = -76.090, regloss = -76.14804, valid_loss = -75.831, time = 4.984, learning_rate=0.0000000010
9060/500000, loss = -76.149, regloss = -76.15057, valid_loss = -76.300, time = 4.973, learning_rate=0.0000000010
9080/500000, loss = -76.123, regloss = -76.15795, valid_loss = -76.246, time = 4.982, learning_rate=0.0000000010
9100/500000, loss = -76.090, regloss = -76.15405, valid_loss = -76.110, time = 4.960, learning_rate=0.0000000010
9120/500000, loss = -76.046, regloss = -76.15879, valid_loss = -75.961, time = 4.956, learning_rate=0.0000000010
9140/500000, loss = -76.310, regloss = -76.14963, valid_loss = -75.980, time = 4.987, learning_rate=0.0000000010
9160/500000, loss = -76.091, regloss = -76.14745, valid_loss = -76.116, time = 4.971, learning_rate=0.0000000010
9180/500000, loss = -76.165, regloss = -76.15504, valid_loss = -76.069, time = 4.993, learning_rate=0.0000000010
9200/500000, loss = -76.202, regloss = -76.15336, valid_loss = -76.245, time = 4.947, learning_rate=0.0000000010
9220/500000, loss = -76.271, regloss = -76.16012, valid_loss = -76.251, time = 4.971, learning_rate=0.0000000010
9240/500000, loss = -76.619, regloss = -76.16443, valid_loss = -76.214, time = 4.978, learning_rate=0.0000000010
9260/500000, loss = -75.957, regloss = -76.17590, valid_loss = -76.109, time = 4.943, learning_rate=0.0000000010
9280/500000, loss = -76.227, regloss = -76.16140, valid_loss = -76.432, time = 4.993, learning_rate=0.0000000010
9300/500000, loss = -76.266, regloss = -76.16880, valid_loss = -75.913, time = 4.975, learning_rate=0.0000000010
9320/500000, loss = -76.086, regloss = -76.16299, valid_loss = -76.369, time = 4.978, learning_rate=0.0000000010
9340/500000, loss = -76.244, regloss = -76.16588, valid_loss = -76.106, time = 4.959, learning_rate=0.0000000010
9360/500000, loss = -76.001, regloss = -76.17460, valid_loss = -76.444, time = 4.973, learning_rate=0.0000000010
9380/500000, loss = -76.058, regloss = -76.16664, valid_loss = -76.231, time = 5.004, learning_rate=0.0000000010
9400/500000, loss = -76.109, regloss = -76.15957, valid_loss = -75.812, time = 4.970, learning_rate=0.0000000010
9420/500000, loss = -75.935, regloss = -76.15271, valid_loss = -76.000, time = 4.984, learning_rate=0.0000000010
9440/500000, loss = -76.285, regloss = -76.15803, valid_loss = -76.059, time = 4.999, learning_rate=0.0000000010
9460/500000, loss = -76.069, regloss = -76.15209, valid_loss = -76.092, time = 4.968, learning_rate=0.0000000010
9480/500000, loss = -76.444, regloss = -76.15376, valid_loss = -76.342, time = 4.976, learning_rate=0.0000000010
9500/500000, loss = -76.071, regloss = -76.14862, valid_loss = -76.328, time = 4.998, learning_rate=0.0000000010
9520/500000, loss = -76.192, regloss = -76.15542, valid_loss = -75.932, time = 4.958, learning_rate=0.0000000010
9540/500000, loss = -76.018, regloss = -76.15326, valid_loss = -76.270, time = 4.988, learning_rate=0.0000000010
9560/500000, loss = -76.161, regloss = -76.15835, valid_loss = -76.067, time = 5.016, learning_rate=0.0000000010
9580/500000, loss = -76.307, regloss = -76.15631, valid_loss = -75.995, time = 5.003, learning_rate=0.0000000010
9600/500000, loss = -76.383, regloss = -76.15452, valid_loss = -76.348, time = 4.981, learning_rate=0.0000000010
9620/500000, loss = -76.013, regloss = -76.15790, valid_loss = -75.911, time = 4.973, learning_rate=0.0000000010
9640/500000, loss = -76.109, regloss = -76.15168, valid_loss = -76.131, time = 4.980, learning_rate=0.0000000010
9660/500000, loss = -76.033, regloss = -76.15146, valid_loss = -76.102, time = 4.976, learning_rate=0.0000000010
9680/500000, loss = -76.101, regloss = -76.14797, valid_loss = -75.990, time = 4.974, learning_rate=0.0000000010
9700/500000, loss = -75.917, regloss = -76.14980, valid_loss = -76.199, time = 5.009, learning_rate=0.0000000010
9720/500000, loss = -76.269, regloss = -76.15791, valid_loss = -76.227, time = 5.019, learning_rate=0.0000000010
9740/500000, loss = -76.274, regloss = -76.15388, valid_loss = -76.182, time = 5.006, learning_rate=0.0000000010
9760/500000, loss = -76.388, regloss = -76.16530, valid_loss = -76.361, time = 4.986, learning_rate=0.0000000010
9780/500000, loss = -76.110, regloss = -76.17139, valid_loss = -76.370, time = 4.951, learning_rate=0.0000000010
9800/500000, loss = -76.386, regloss = -76.17146, valid_loss = -76.024, time = 5.023, learning_rate=0.0000000010
9820/500000, loss = -76.166, regloss = -76.16966, valid_loss = -76.172, time = 4.989, learning_rate=0.0000000010
9840/500000, loss = -76.216, regloss = -76.17282, valid_loss = -76.275, time = 4.986, learning_rate=0.0000000010
9860/500000, loss = -76.184, regloss = -76.17221, valid_loss = -76.060, time = 4.979, learning_rate=0.0000000010
9880/500000, loss = -76.098, regloss = -76.17388, valid_loss = -76.125, time = 5.171, learning_rate=0.0000000010
9900/500000, loss = -76.322, regloss = -76.17616, valid_loss = -75.865, time = 4.860, learning_rate=0.0000000010
9920/500000, loss = -75.867, regloss = -76.17060, valid_loss = -76.227, time = 5.018, learning_rate=0.0000000010
9940/500000, loss = -76.282, regloss = -76.17233, valid_loss = -76.211, time = 4.999, learning_rate=0.0000000010
9960/500000, loss = -76.267, regloss = -76.17167, valid_loss = -75.932, time = 5.023, learning_rate=0.0000000010
9980/500000, loss = -76.005, regloss = -76.16494, valid_loss = -76.574, time = 5.034, learning_rate=0.0000000010
10000/500000, loss = -76.207, regloss = -76.15885, valid_loss = -76.278, time = 4.990, learning_rate=0.0000000010
10020/500000, loss = -76.095, regloss = -76.14988, valid_loss = -76.098, time = 4.986, learning_rate=0.0000000010
10040/500000, loss = -76.156, regloss = -76.14851, valid_loss = -76.204, time = 4.996, learning_rate=0.0000000010
10060/500000, loss = -76.137, regloss = -76.15467, valid_loss = -76.158, time = 4.989, learning_rate=0.0000000010
10080/500000, loss = -76.056, regloss = -76.16144, valid_loss = -75.958, time = 4.999, learning_rate=0.0000000010
10100/500000, loss = -76.159, regloss = -76.16567, valid_loss = -76.276, time = 4.995, learning_rate=0.0000000010
10120/500000, loss = -76.362, regloss = -76.16655, valid_loss = -75.975, time = 4.975, learning_rate=0.0000000010
10140/500000, loss = -76.145, regloss = -76.16449, valid_loss = -76.352, time = 4.991, learning_rate=0.0000000010
10160/500000, loss = -76.172, regloss = -76.16305, valid_loss = -76.014, time = 4.984, learning_rate=0.0000000010
10180/500000, loss = -76.369, regloss = -76.15796, valid_loss = -76.389, time = 4.990, learning_rate=0.0000000010
10200/500000, loss = -76.138, regloss = -76.15714, valid_loss = -76.044, time = 4.993, learning_rate=0.0000000010
10220/500000, loss = -76.237, regloss = -76.16135, valid_loss = -76.433, time = 5.002, learning_rate=0.0000000010
10240/500000, loss = -76.148, regloss = -76.14529, valid_loss = -75.830, time = 5.025, learning_rate=0.0000000010
10260/500000, loss = -75.981, regloss = -76.13914, valid_loss = -75.955, time = 5.026, learning_rate=0.0000000010
10280/500000, loss = -76.019, regloss = -76.14329, valid_loss = -76.081, time = 5.000, learning_rate=0.0000000010
10300/500000, loss = -76.244, regloss = -76.14308, valid_loss = -76.032, time = 4.977, learning_rate=0.0000000010
10320/500000, loss = -76.031, regloss = -76.14797, valid_loss = -75.996, time = 4.989, learning_rate=0.0000000010
10340/500000, loss = -76.072, regloss = -76.14194, valid_loss = -76.165, time = 4.999, learning_rate=0.0000000010
10360/500000, loss = -76.195, regloss = -76.14434, valid_loss = -76.199, time = 4.986, learning_rate=0.0000000010
10380/500000, loss = -76.074, regloss = -76.13502, valid_loss = -76.064, time = 4.999, learning_rate=0.0000000010
10400/500000, loss = -76.137, regloss = -76.13986, valid_loss = -75.906, time = 4.982, learning_rate=0.0000000010
10420/500000, loss = -75.954, regloss = -76.14734, valid_loss = -75.998, time = 4.984, learning_rate=0.0000000010
10440/500000, loss = -76.056, regloss = -76.15600, valid_loss = -76.011, time = 4.999, learning_rate=0.0000000010
10460/500000, loss = -76.154, regloss = -76.15678, valid_loss = -76.290, time = 4.983, learning_rate=0.0000000010
10480/500000, loss = -76.172, regloss = -76.16558, valid_loss = -76.532, time = 4.981, learning_rate=0.0000000010
10500/500000, loss = -76.252, regloss = -76.17184, valid_loss = -76.131, time = 5.006, learning_rate=0.0000000010
10520/500000, loss = -76.413, regloss = -76.16968, valid_loss = -76.373, time = 4.985, learning_rate=0.0000000010
10540/500000, loss = -75.993, regloss = -76.16559, valid_loss = -76.124, time = 5.009, learning_rate=0.0000000010
10560/500000, loss = -76.137, regloss = -76.16834, valid_loss = -75.986, time = 5.024, learning_rate=0.0000000010
10580/500000, loss = -76.089, regloss = -76.15621, valid_loss = -76.231, time = 5.008, learning_rate=0.0000000010
10600/500000, loss = -76.150, regloss = -76.15747, valid_loss = -76.213, time = 4.989, learning_rate=0.0000000010
10620/500000, loss = -76.348, regloss = -76.17004, valid_loss = -76.260, time = 5.021, learning_rate=0.0000000010
10640/500000, loss = -76.091, regloss = -76.16506, valid_loss = -76.183, time = 4.978, learning_rate=0.0000000010
10660/500000, loss = -76.024, regloss = -76.16008, valid_loss = -76.105, time = 5.023, learning_rate=0.0000000010
10680/500000, loss = -76.004, regloss = -76.15702, valid_loss = -76.179, time = 5.002, learning_rate=0.0000000010
10700/500000, loss = -76.152, regloss = -76.16063, valid_loss = -76.146, time = 5.000, learning_rate=0.0000000010
10720/500000, loss = -76.126, regloss = -76.15778, valid_loss = -76.182, time = 5.010, learning_rate=0.0000000010
10740/500000, loss = -75.802, regloss = -76.15332, valid_loss = -76.346, time = 5.006, learning_rate=0.0000000010
10760/500000, loss = -76.025, regloss = -76.15118, valid_loss = -76.172, time = 5.040, learning_rate=0.0000000010
10780/500000, loss = -75.884, regloss = -76.16100, valid_loss = -76.352, time = 4.994, learning_rate=0.0000000010
10800/500000, loss = -76.174, regloss = -76.15991, valid_loss = -76.053, time = 4.996, learning_rate=0.0000000010
10820/500000, loss = -76.213, regloss = -76.16086, valid_loss = -75.812, time = 4.973, learning_rate=0.0000000010
10840/500000, loss = -76.227, regloss = -76.14758, valid_loss = -76.054, time = 5.002, learning_rate=0.0000000010
10860/500000, loss = -76.250, regloss = -76.15366, valid_loss = -76.183, time = 4.987, learning_rate=0.0000000010
10880/500000, loss = -76.318, regloss = -76.14890, valid_loss = -76.077, time = 4.997, learning_rate=0.0000000010
10900/500000, loss = -76.269, regloss = -76.15814, valid_loss = -76.085, time = 4.992, learning_rate=0.0000000010
10920/500000, loss = -76.224, regloss = -76.16460, valid_loss = -76.236, time = 4.994, learning_rate=0.0000000010
10940/500000, loss = -75.927, regloss = -76.15676, valid_loss = -76.289, time = 4.986, learning_rate=0.0000000010
10960/500000, loss = -76.317, regloss = -76.16420, valid_loss = -76.250, time = 5.000, learning_rate=0.0000000010
10980/500000, loss = -76.210, regloss = -76.15538, valid_loss = -76.301, time = 5.018, learning_rate=0.0000000010
11000/500000, loss = -76.115, regloss = -76.15041, valid_loss = -76.059, time = 5.009, learning_rate=0.0000000010
11020/500000, loss = -75.923, regloss = -76.15963, valid_loss = -76.087, time = 4.989, learning_rate=0.0000000010
11040/500000, loss = -76.277, regloss = -76.16301, valid_loss = -76.350, time = 4.968, learning_rate=0.0000000010
11060/500000, loss = -75.949, regloss = -76.16684, valid_loss = -76.229, time = 5.022, learning_rate=0.0000000010
11080/500000, loss = -76.191, regloss = -76.16929, valid_loss = -76.484, time = 4.985, learning_rate=0.0000000010
11100/500000, loss = -76.256, regloss = -76.16418, valid_loss = -76.124, time = 5.017, learning_rate=0.0000000010
11120/500000, loss = -76.235, regloss = -76.16761, valid_loss = -76.259, time = 5.016, learning_rate=0.0000000010
11140/500000, loss = -76.008, regloss = -76.17474, valid_loss = -75.937, time = 4.972, learning_rate=0.0000000010
11160/500000, loss = -76.105, regloss = -76.15589, valid_loss = -76.406, time = 4.972, learning_rate=0.0000000010
11180/500000, loss = -76.002, regloss = -76.14948, valid_loss = -76.204, time = 5.012, learning_rate=0.0000000010
11200/500000, loss = -76.189, regloss = -76.15370, valid_loss = -76.389, time = 4.994, learning_rate=0.0000000010
11220/500000, loss = -76.150, regloss = -76.14719, valid_loss = -76.037, time = 4.993, learning_rate=0.0000000010
11240/500000, loss = -76.217, regloss = -76.14699, valid_loss = -75.956, time = 4.985, learning_rate=0.0000000010
11260/500000, loss = -75.999, regloss = -76.16244, valid_loss = -76.104, time = 5.002, learning_rate=0.0000000010
11280/500000, loss = -76.283, regloss = -76.16138, valid_loss = -76.234, time = 4.984, learning_rate=0.0000000010
11300/500000, loss = -76.210, regloss = -76.16173, valid_loss = -76.054, time = 4.993, learning_rate=0.0000000010
11320/500000, loss = -76.110, regloss = -76.16302, valid_loss = -76.434, time = 4.988, learning_rate=0.0000000010
11340/500000, loss = -76.219, regloss = -76.16887, valid_loss = -75.919, time = 4.978, learning_rate=0.0000000010
11360/500000, loss = -76.229, regloss = -76.15860, valid_loss = -75.825, time = 4.983, learning_rate=0.0000000010
11380/500000, loss = -76.232, regloss = -76.15696, valid_loss = -76.422, time = 5.012, learning_rate=0.0000000010
11400/500000, loss = -76.235, regloss = -76.15361, valid_loss = -76.247, time = 4.999, learning_rate=0.0000000010
11420/500000, loss = -76.144, regloss = -76.14318, valid_loss = -76.268, time = 4.985, learning_rate=0.0000000010
11440/500000, loss = -76.228, regloss = -76.15821, valid_loss = -76.028, time = 4.997, learning_rate=0.0000000010
11460/500000, loss = -76.056, regloss = -76.15858, valid_loss = -75.935, time = 4.986, learning_rate=0.0000000010
11480/500000, loss = -76.283, regloss = -76.16570, valid_loss = -76.378, time = 5.026, learning_rate=0.0000000010
11500/500000, loss = -75.902, regloss = -76.16122, valid_loss = -76.050, time = 4.964, learning_rate=0.0000000010
11520/500000, loss = -76.089, regloss = -76.15995, valid_loss = -76.112, time = 4.977, learning_rate=0.0000000010
11540/500000, loss = -76.365, regloss = -76.15287, valid_loss = -76.045, time = 5.026, learning_rate=0.0000000010
11560/500000, loss = -76.250, regloss = -76.15075, valid_loss = -75.974, time = 5.005, learning_rate=0.0000000010
0/500000, loss = nan, regloss = nan, valid_loss = nan, time = 6.966, learning_rate=0.0001000000
0/500000, loss = 0.000, regloss = 0.00000, valid_loss = 0.000, time = 6.549, learning_rate=0.0001000000
20/500000, loss = 0.000, regloss = 0.00003, valid_loss = 0.000, time = 4.853, learning_rate=0.0001000000
